"Story","Title","Result","Date","Stability","Duration (s)"
"Lookup a definition","Looking up the definition of 'apple'","IGNORED","2019-12-03T16:27:33.306+02:00[Europe/Helsinki]","0.0","0.28"
"Lookup a definition","Looking up the definition of 'pear'","IGNORED","2019-12-03T16:27:33.644+02:00[Europe/Helsinki]","0.0","0.02"
